index,tenor,date,fixing
EUR-EURIBOR-Reuters,6M,23/03/2007,0.04014
EUR-EURIBOR-Reuters,12M,23/03/2007,0.04124
EUR-EONIA-OIS-COMPOUND,1D,26/03/2007,0.0381
EUR-EURIBOR-Reuters,1W,26/03/2007,0.03861
EUR-EURIBOR-Reuters,2W,26/03/2007,0.03861
EUR-EURIBOR-Reuters,1M,26/03/2007,0.03864
EUR-EURIBOR-Reuters,3M,26/03/2007,0.03906
EUR-EURIBOR-Reuters,6M,26/03/2007,0.04023
EUR-EURIBOR-Reuters,12M,26/03/2007,0.04139
EUR-EONIA-OIS-COMPOUND,1D,27/03/2007,0.0381
EUR-EURIBOR-Reuters,1W,27/03/2007,0.03862
EUR-EURIBOR-Reuters,2W,27/03/2007,0.03862
EUR-EURIBOR-Reuters,1M,27/03/2007,0.03864
EUR-EURIBOR-Reuters,3M,27/03/2007,0.03909
EUR-EURIBOR-Reuters,6M,27/03/2007,0.04025
EUR-EURIBOR-Reuters,12M,27/03/2007,0.04154
EUR-EONIA-OIS-COMPOUND,1D,28/03/2007,0.0382
EUR-EURIBOR-Reuters,1W,28/03/2007,0.0387
EUR-EURIBOR-Reuters,2W,28/03/2007,0.03864
EUR-EURIBOR-Reuters,1M,28/03/2007,0.03865
EUR-EURIBOR-Reuters,3M,28/03/2007,0.03914
EUR-EURIBOR-Reuters,6M,28/03/2007,0.04028
EUR-EURIBOR-Reuters,12M,28/03/2007,0.04157
EUR-EONIA-OIS-COMPOUND,1D,29/03/2007,0.0383
EUR-EURIBOR-Reuters,1W,29/03/2007,0.03857
EUR-EURIBOR-Reuters,2W,29/03/2007,0.03854
EUR-EURIBOR-Reuters,1M,29/03/2007,0.03864
EUR-EURIBOR-Reuters,3M,29/03/2007,0.03922
EUR-EURIBOR-Reuters,6M,29/03/2007,0.04036
EUR-EURIBOR-Reuters,12M,29/03/2007,0.04168
